base_feature,ori_missing,ori_auc,new_missing,new_auc,missing_diff,auc_abs_gain,auc_pct_gain
B_9,0.0,0.8271454534038657,0.0,0.8271454534038657,0.0,0.0,0.0
B_10,0.0,0.8289108520151847,0.0,0.8289108520151847,0.0,0.0,0.0
B_11,0.0,0.8286847097715907,0.0,0.8286847097715907,0.0,0.0,0.0
B_12,0.0,0.6273895232384146,0.0,0.6273895232384146,0.0,0.0,0.0
B_13,0.0034058743160468325,0.5307878402251782,0.0034058743160468325,0.5307878402251782,0.0,0.0,0.0
B_14,0.0,0.7146945436959982,0.0,0.7146945436959982,0.0,0.0,0.0
B_15,0.0013335861045557654,0.5025475089103566,0.0013161536064569973,0.5025434992344644,0.0017432498098768128,-4.00967589220258e-06,-0.0007978700164878973
B_16,6.755093013272669e-05,0.7867559333189995,6.755093013272669e-05,0.7867559333189995,0.0,0.0,0.0
B_17,0.5327175303379943,0.6244383276323354,0.4650772586525115,0.6854744241141464,6.764027168548282,0.061036096481810964,9.774559597140641
B_18,0.0,0.8492736718987263,0.0,0.8492736718987263,0.0,0.0,0.0
B_19,6.755093013272669e-05,0.7623452452737308,6.755093013272669e-05,0.7623452452737308,0.0,0.0,0.0
B_20,6.755093013272669e-05,0.7981670834947104,6.755093013272669e-05,0.7981670834947104,0.0,0.0,0.0
B_21,0.0,0.5289059886368258,0.0,0.5289059886368258,0.0,0.0,0.0
B_22,6.755093013272669e-05,0.6948162086788364,6.755093013272669e-05,0.6948162086788364,0.0,0.0,0.0
B_23,0.0,0.8448665750705046,0.0,0.8448665750705046,0.0,0.0,0.0
B_24,0.0,0.5416781170901417,0.0,0.5416781170901417,0.0,0.0,0.0
B_25,0.0013335861045557654,0.7274770252481522,0.0013161536064569973,0.7274758694667318,0.0017432498098768128,-1.155781420347779e-06,-0.00015887531567797985
B_26,6.755093013272669e-05,0.606503648691357,6.755093013272669e-05,0.606503648691357,0.0,0.0,0.0
B_27,0.0,0.5040786890119747,0.0,0.5040786890119747,0.0,0.0,0.0
B_28,0.0,0.7450264030219518,0.0,0.7450264030219518,0.0,0.0,0.0
B_29,0.9404593027436573,0.5008313633723191,0.9197821809362559,0.5008589538274784,2.0677121807401444,2.759045515920988e-05,0.005508931184626926
B_30,6.755093013272669e-05,0.6720576040905588,6.755093013272669e-05,0.6720576040905588,0.0,0.0,0.0
B_31,0.0,0.5088582885722931,0.0,0.5088582885722931,0.0,0.0,0.0
B_32,0.0,0.5239907092411422,0.0,0.5239907092411422,0.0,0.0,0.0
B_33,6.755093013272669e-05,0.7935954517025976,6.755093013272669e-05,0.7935954517025976,0.0,0.0,0.0
B_36,0.0,0.5060796240212528,0.0,0.5060796240212528,0.0,0.0,0.0
B_37,0.0,0.8326830164586435,0.0,0.8326830164586435,0.0,0.0,0.0
B_38,6.755093013272669e-05,0.798251941339255,6.755093013272669e-05,0.798251941339255,0.0,0.0,0.0
B_39,0.9910549494130696,0.5006256572184498,0.9910527703508072,0.5006242005582257,0.00021790622624084932,-1.456660224108397e-06,-0.0002909679524221385
B_40,0.0,0.8045819291767781,0.0,0.8045819291767781,0.0,0.0,0.0
B_41,0.0,0.524294601546982,0.0,0.524294601546982,0.0,0.0,0.0
B_42,0.9866161995846707,0.5035253518953302,0.9858164837343898,0.5049146457413098,0.07997158502809354,0.0013892938459796333,0.27591338564188744
