col1,col2,cross_type,agg_type,benchmark,challenge,improvement
S_22,B_22,sigmoid_product,last,0.7270437554592856,0.8032527337044837,10.482034633122685
R_3,R_10,sigmoid_add,mean,0.7320495554204748,0.8085948449538514,10.456298889412
R_5,B_18,sigmoid_ratio,max,0.7616563009493459,0.8411207188643792,10.433107139793508
S_3,D_78,sigmoid_subtract,std,0.725,0.8006013751635671,10.427775884629948
B_22,D_58,sigmoid_product,std,0.725,0.800543878372201,10.41984529271738
P_2,B_30,sigmoid_add,std,0.725,0.80023522867593,10.377272920817934
P_2,B_30,sigmoid_product,std,0.725,0.8000567137245812,10.352650168907756
B_26,D_55,sigmoid_subtract,min,0.725,0.799291262072532,10.24707063069407
S_37d,B_38,sigmoid_ratio,min,0.7283199912856353,0.8028194032549885,10.228939595334506
B_11,D_50,sigmoid_ratio,min,0.7298719216935295,0.8045127435577488,10.22656436639313
B_26,D_55,sigmoid_ratio,min,0.725,0.7991057590706185,10.221484009740491
R_3,B_30,sigmoid_product,std,0.725,0.7991000934668191,10.220702547147464
B_11,D_50,sigmoid_subtract,min,0.7298719216935295,0.8042680695216364,10.193041493565708
S_3,D_78,sigmoid_ratio,std,0.725,0.7988332408106809,10.183895284231847
S_7,D_58,sigmoid_product,min,0.7368005456973958,0.8117045431429137,10.166115902454962
S_7,D_58,sigmoid_add,min,0.7368005456973958,0.8115349047770647,10.143092254218047
B_42,D_61,sigmoid_ratio,mean,0.8396628142731972,0.9246692768222984,10.123880813119229
B_42,D_61,sigmoid_subtract,mean,0.8396628142731972,0.9243097679615884,10.081064952442917
R_5,B_18,sigmoid_subtract,max,0.7616563009493459,0.8383419865976678,10.068279557687516
S_20,D_55,sigmoid_subtract,min,0.725,0.7978417803910718,10.047142122906456
S_20,D_55,sigmoid_ratio,min,0.725,0.7978347802157982,10.046176581489414
B_9,D_50,sigmoid_ratio,min,0.740912946361791,0.8153407175596238,10.045413778137632
R_4,B_11,sigmoid_product,std,0.725,0.79778712246321,10.039603098373801
B_9,D_50,sigmoid_subtract,min,0.740912946361791,0.8151361882236418,10.017808735333839
S_7,R_2,sigmoid_product,std,0.725,0.7975050578995393,10.000697641315769
B_30,D_52,sigmoid_ratio,mean,0.754753479149509,0.829869414179218,9.952380095597988
R_4,B_11,sigmoid_add,std,0.725,0.7969931321867163,9.930087198167769
S_7,R_2,sigmoid_subtract,std,0.725,0.7963095842341252,9.835804721948312
S_7,R_2,sigmoid_add,std,0.725,0.7961971856461756,9.820301468438016
S_7,R_2,sigmoid_ratio,std,0.725,0.7957283334229877,9.755632196274162
R_4,B_11,sigmoid_subtract,std,0.725,0.7956864010670384,9.749848423039778
R_5,B_1,sigmoid_product,std,0.725,0.7956678666236557,9.74729194809045
B_30,D_52,sigmoid_subtract,mean,0.754753479149509,0.8282762553529709,9.741296759083612
R_3,R_10,sigmoid_product,std,0.7339741826025613,0.8047449790176278,9.642137025055012
R_5,B_1,sigmoid_add,std,0.725,0.7946993449813002,9.613702756041416
B_42,D_61,sigmoid_ratio,max,0.8324365468710383,0.9122157376638989,9.583816459372729
S_3,D_78,sigmoid_product,max,0.761403313352604,0.8343622367275123,9.582165206722863
