,overall,gini,top4,col1,col2
1984,0.7708318314849832,0.912989779796938,0.6286738831730286,R_5,B_20
1985,0.770879999177942,0.9130861151828552,0.6286738831730286,B_27,B_29
1986,0.770828499868784,0.9129831165645396,0.6286738831730286,S_17,B_8
1987,0.7707729417438722,0.912872000314716,0.6286738831730286,B_7,B_14
1988,0.7708187774239277,0.9129636716748268,0.6286738831730286,S_12,B_36
1989,0.7707458529682896,0.9128178227635504,0.6286738831730286,S_7,B_12
1990,0.7708255010588954,0.912977118944762,0.6286738831730286,S_9,B_24
1991,0.7708404489181395,0.9130070146632504,0.6286738831730286,S_25,B_20
1992,0.7707396236079374,0.912805364042846,0.6286738831730286,S_3,S_25
1993,0.770791026983604,0.9129081707941792,0.6286738831730286,S_9,R_8
1994,0.7708587639245059,0.9130436446759832,0.6286738831730286,B_32,B_37
1995,0.7708513884944979,0.9130288938159672,0.6286738831730286,B_19,B_29
1996,0.7708278847890311,0.9129818864050336,0.6286738831730286,S_5,B_31
1997,0.7708921393047046,0.9131103954363804,0.6286738831730286,R_14,B_29
1998,0.7708867958486959,0.9130997085243632,0.6286738831730286,B_3,B_32
1999,0.7708252839254781,0.9129766846779276,0.6286738831730286,R_8,B_2
2000,0.7708254473677232,0.9129770115624176,0.6286738831730286,R_17,B_16
2001,0.7708620450078364,0.9130502068426442,0.6286738831730286,B_3,B_41
2002,0.7708506699802797,0.9130274567875308,0.6286738831730286,S_6,S_23
2003,0.7708262203626894,0.9129785575523502,0.6286738831730286,S_20,R_3
2004,0.7708497797332685,0.9130256762935084,0.6286738831730286,R_9,B_2
2005,0.7708289412418035,0.9129839993105784,0.6286738831730286,R_28,B_12
2006,0.7707907964273939,0.912907709681759,0.6286738831730286,S_8,R_10
2007,0.7707378936467831,0.9128019041205376,0.6286738831730286,B_2,B_9
2008,0.7708360604543788,0.912998237735729,0.6286738831730286,S_23,B_20
2009,0.7708581034441278,0.9130423237152268,0.6286738831730286,R_4,B_6
2010,0.7708190754888913,0.912964267804754,0.6286738831730286,R_7,B_18
2011,0.770827833466586,0.9129817837601434,0.6286738831730286,R_28,B_18
2012,0.7708129136372929,0.9129519441015572,0.6286738831730286,R_7,B_15
2013,0.7708016807334273,0.9129294782938258,0.6286738831730286,P_2,B_1
2014,0.7708154383067554,0.912956993440482,0.6286738831730286,S_24,R_1
2015,0.7708062768556925,0.9129386705383562,0.6286738831730286,R_8,R_16
2016,0.7708478318491196,0.9130217805252104,0.6286738831730286,R_28,B_39
2017,0.7708161179212436,0.9129918658568976,0.6286403699855894,R_5,R_28
2018,0.7708116216803502,0.9129828733751112,0.6286403699855894,S_15,R_24
2019,0.7708177697143679,0.9129951694431464,0.6286403699855894,S_17,B_15
2020,0.7707741073424279,0.9129078446992666,0.6286403699855894,R_8,B_40
2021,0.7707659139116174,0.9128914578376456,0.6286403699855894,B_5,B_8
2022,0.7707768416443352,0.9129133133030812,0.6286403699855894,S_26,B_14
2023,0.7708142079367459,0.9129880458879026,0.6286403699855894,S_24,S_26
2024,0.7708280306500999,0.9130156913146102,0.6286403699855894,S_27,R_23
2025,0.7708261597496175,0.9130119495136456,0.6286403699855894,R_8,B_13
2026,0.7708125968067892,0.9129848236279888,0.6286403699855894,S_22,B_20
2027,0.7707769829784503,0.9129135959713112,0.6286403699855894,S_6,S_11
2028,0.7707194785485425,0.9127985871114956,0.6286403699855894,S_22,B_28
2029,0.770759128689717,0.9128778873938446,0.6286403699855894,R_24,B_25
2030,0.7708157851149329,0.9129912002442764,0.6286403699855894,B_2,B_15
2031,0.7707705443804409,0.9129007187752926,0.6286403699855894,S_11,B_23
2032,0.7708390037834408,0.9130376375812924,0.6286403699855894,R_14,B_14
2033,0.7708340866985066,0.913027803411424,0.6286403699855894,B_16,B_42
2034,0.7708099327771512,0.9129794955687128,0.6286403699855894,P_4,R_13
2035,0.770854220098546,0.9130680702115028,0.6286403699855894,P_4,R_15
2036,0.7707897417380585,0.9129391134905276,0.6286403699855894,B_23,B_30
2037,0.7708750633274668,0.9131097566693444,0.6286403699855894,S_6,R_26
2038,0.7708047646070284,0.9129691592284676,0.6286403699855894,R_9,B_23
2039,0.7707719766714207,0.912903583357252,0.6286403699855894,R_11,B_23
2040,0.7708681655909778,0.9130959611963664,0.6286403699855894,R_2,R_15
2041,0.77090086035661,0.9131613507276306,0.6286403699855894,B_4,B_14
2042,0.7708579855867927,0.9130756011879962,0.6286403699855894,R_16,B_28
2043,0.7707694358156485,0.9128985016457076,0.6286403699855894,R_25,R_27
2044,0.7707496304844628,0.912858890983336,0.6286403699855894,S_22,B_1
2045,0.7707966896126283,0.9129530092396672,0.6286403699855894,R_24,B_13
2046,0.7707888945229425,0.9129374190602956,0.6286403699855894,S_3,R_9
2047,0.7708308833884169,0.9130213967912444,0.6286403699855894,R_27,B_2
2048,0.7707162732645125,0.9127921765434356,0.6286403699855894,S_3,S_12
2049,0.770795934383123,0.9129514987806568,0.6286403699855894,P_2,S_6
2050,0.7708316362491934,0.9130229025127974,0.6286403699855894,S_27,B_32
2051,0.7708512011544673,0.9130620323233452,0.6286403699855894,P_2,R_21
2052,0.7707733821168132,0.9129063942480372,0.6286403699855894,S_9,S_11
2053,0.7708289643237953,0.9130175586620012,0.6286403699855894,B_11,B_32
2054,0.7708090800350027,0.912977790084416,0.6286403699855894,R_11,B_7
2055,0.7707986138094942,0.912956857633399,0.6286403699855894,S_12,B_27
2056,0.7707744081709074,0.9129084463562254,0.6286403699855894,S_23,B_38
2057,0.7707789506020002,0.9129175312184112,0.6286403699855894,S_8,B_1
2058,0.7708163940623629,0.9130259313265756,0.6286068567981501,S_16,R_1
2059,0.7708107635954553,0.9130146703927606,0.6286068567981501,R_10,R_27
2060,0.7707179098451893,0.9128289628922284,0.6286068567981501,S_12,B_28
2061,0.7708154801280696,0.913024103457989,0.6286068567981501,B_15,B_29
2062,0.7707792831978086,0.9129517095974672,0.6286068567981501,R_3,B_17
2063,0.7708082045794339,0.9130095523607176,0.6286068567981501,R_2,R_14
2064,0.7707622319079317,0.9129176070177132,0.6286068567981501,R_13,R_18
2065,0.7707763333416353,0.9129458098851204,0.6286068567981501,S_7,R_9
2066,0.7707728832890266,0.9129389097799032,0.6286068567981501,S_8,S_16
2067,0.7708068322962356,0.9130068077943212,0.6286068567981501,R_28,B_25
2068,0.7707918394311561,0.9129768220641622,0.6286068567981501,S_7,R_6
2069,0.7707746732579621,0.9129424897177744,0.6286068567981501,R_4,B_5
2070,0.7707831809400454,0.9129595050819408,0.6286068567981501,S_17,B_23
2071,0.7708371504379175,0.9130674440776848,0.6286068567981501,R_13,B_6
2072,0.7707057582695747,0.9128046597409992,0.6286068567981501,S_25,B_10
2073,0.7708242870594811,0.9130417173208122,0.6286068567981501,S_7,B_24
2074,0.7708047221542063,0.9130025875102624,0.6286068567981501,R_23,B_37
2075,0.7707917434976645,0.912976630197179,0.6286068567981501,S_13,R_14
2076,0.7707753297904592,0.912943802782768,0.6286068567981501,B_7,B_41
2077,0.7707688864549936,0.9129309161118372,0.6286068567981501,P_3,R_28
2078,0.7707790644852384,0.9129512721723269,0.6286068567981501,S_16,B_18
2079,0.7708448902572789,0.9130829237164076,0.6286068567981501,S_13,S_16
2080,0.7707574589206289,0.9129080610431076,0.6286068567981501,S_16,R_3
2081,0.7707619314742393,0.9129170061503288,0.6286068567981501,S_27,B_7
2082,0.7707600629424856,0.9129132690868208,0.6286068567981501,B_16,B_22
2083,0.7706958956749665,0.9127849345517832,0.6286068567981501,S_7,S_22
2084,0.7708074359271365,0.913008015056123,0.6286068567981501,S_8,B_36
2085,0.7707904560938927,0.9129740553896354,0.6286068567981501,R_1,R_12
2086,0.7707953617299748,0.9129838666617994,0.6286068567981501,B_5,B_29
2087,0.7707837956250105,0.9129607344518708,0.6286068567981501,S_5,R_15
2088,0.7707435343519624,0.9128802119057746,0.6286068567981501,R_1,R_6
2089,0.7707933945012124,0.9129799322042748,0.6286068567981501,S_8,R_21
2090,0.7707638797531757,0.9129209027082014,0.6286068567981501,S_15,R_23
2091,0.7707937332293446,0.9129806096605392,0.6286068567981501,S_5,B_42
2092,0.7707965666230483,0.9129862764479464,0.6286068567981501,B_6,B_7
2093,0.7707684892982336,0.912930121798317,0.6286068567981501,R_3,R_28
2094,0.7708117276678286,0.9130165985375072,0.6286068567981501,B_8,B_36
2095,0.7708149645349007,0.9130230722716514,0.6286068567981501,S_9,R_22
2096,0.7708029933774156,0.9129991299566812,0.6286068567981501,R_8,R_12
2097,0.7708320501713357,0.9130572435445214,0.6286068567981501,S_23,B_27
2098,0.7707992132820116,0.9129915697658731,0.6286068567981501,S_22,B_17
2099,0.7708184260363622,0.9130299952745744,0.6286068567981501,P_4,B_32
2100,0.7707779081510939,0.9129489595040376,0.6286068567981501,S_26,R_7
2101,0.7707830763212167,0.9129592958442831,0.6286068567981501,S_27,B_22
2102,0.7707104732230365,0.9128140896479228,0.6286068567981501,R_1,B_1
2103,0.7707343010494777,0.9128617453008052,0.6286068567981501,B_8,B_28
2104,0.7708314639111089,0.9130560710240676,0.6286068567981501,B_2,B_39
2105,0.7708072041865615,0.9130075515749728,0.6286068567981501,R_11,B_39
2106,0.7707441983854313,0.9128815399727126,0.6286068567981501,S_9,B_10
2107,0.7707974835051424,0.913021623399574,0.6285733436107108,R_9,B_13
2108,0.7707756754142716,0.9129780072178324,0.6285733436107108,R_6,B_1
2109,0.7707743891948644,0.912975434779018,0.6285733436107108,R_7,B_20
2110,0.7707966674782811,0.9130199913458514,0.6285733436107108,S_22,R_9
2111,0.7708162947600647,0.9130592459094186,0.6285733436107108,R_16,B_38
2112,0.7707109743933341,0.9128486051759576,0.6285733436107108,S_8,B_3
2113,0.7707755250000319,0.912977706389353,0.6285733436107108,S_12,S_20
2114,0.7707975794386348,0.9130218152665588,0.6285733436107108,R_14,B_20
2115,0.7707362060860159,0.912899068561321,0.6285733436107108,B_16,B_23
2116,0.7708075734976568,0.9130418033846028,0.6285733436107108,R_14,R_18
2117,0.7707496359852781,0.9129259283598457,0.6285733436107108,R_20,B_7
2118,0.7707925608931752,0.9130117781756396,0.6285733436107108,R_8,R_14
2119,0.7707218251423853,0.9128703066740598,0.6285733436107108,S_27,B_19
2120,0.7707368890693111,0.9129004345279116,0.6285733436107108,R_5,R_9
2121,0.7707516395345388,0.9129299354583668,0.6285733436107108,R_11,B_22
2122,0.770798949747892,0.9130245558850733,0.6285733436107108,R_26,B_28
2123,0.7707569419325923,0.9129405402544736,0.6285733436107108,R_20,B_11
2124,0.7707842770559068,0.9129952105011028,0.6285733436107108,B_22,B_31
2125,0.7708269556160725,0.9130805676214344,0.6285733436107108,R_17,B_38
2126,0.7708262461819797,0.9130791487532484,0.6285733436107108,R_11,B_16
2127,0.7706920901026266,0.9128108365945424,0.6285733436107108,S_25,B_40
2128,0.770763524233445,0.9129537048561792,0.6285733436107108,P_2,R_9
2129,0.7708043255765196,0.9130353075423282,0.6285733436107108,R_26,B_14
2130,0.7707520220841413,0.912930700557572,0.6285733436107108,S_12,B_19
2131,0.7707441010570737,0.9129148585034368,0.6285733436107108,S_24,B_8
2132,0.7707368630133005,0.9129003824158902,0.6285733436107108,S_23,B_23
2133,0.770831768082179,0.9130901925536472,0.6285733436107108,S_9,R_5
2134,0.7707702735296345,0.9129672034485582,0.6285733436107108,S_27,R_9
2135,0.7707553000091686,0.9129372564076264,0.6285733436107108,S_27,R_22
2136,0.7707972805840949,0.913021217557479,0.6285733436107108,S_22,R_16
2137,0.7707962849286782,0.9130192262466456,0.6285733436107108,R_15,B_16
2138,0.7707460959209977,0.9129188482312846,0.6285733436107108,P_3,S_17
2139,0.7707933054634035,0.913013267316096,0.6285733436107108,R_27,B_23
2140,0.7706484612876681,0.9127235789646252,0.6285733436107108,S_15,B_7
2141,0.7707610552290944,0.912948766847478,0.6285733436107108,S_24,B_14
2142,0.7707307686704552,0.9128881937301996,0.6285733436107108,P_3,R_25
2143,0.7708094076828517,0.9130454717549924,0.6285733436107108,B_20,B_26
2144,0.7708364175008282,0.9130994913909456,0.6285733436107108,R_4,R_10
2145,0.7707544002872442,0.9129354569637776,0.6285733436107108,B_6,B_11
2146,0.7707891049187459,0.913004866226781,0.6285733436107108,R_12,B_10
2147,0.7707306691838713,0.912887994757032,0.6285733436107108,B_5,B_26
2148,0.7708246926910747,0.9130760417714384,0.6285733436107108,B_14,B_36
2149,0.7707845557762567,0.9129957679418026,0.6285733436107108,B_27,B_30
2150,0.7708101652810846,0.9130469869514584,0.6285733436107108,S_18,B_14
2151,0.7707678665070055,0.9129623894033,0.6285733436107108,R_18,B_40
2152,0.7707441689606152,0.9129149943105196,0.6285733436107108,S_9,R_21
2153,0.7707304406016011,0.9128875375924916,0.6285733436107108,P_4,B_11
2154,0.7707382052926082,0.9129030669745056,0.6285733436107108,R_19,B_15
2155,0.7707811426232213,0.913022454823171,0.6285398304232716,B_2,B_11
2156,0.7707797592859573,0.9130196881486432,0.6285398304232716,R_10,B_16
2157,0.7708157276339487,0.9130916248446258,0.6285398304232716,S_16,R_16
2158,0.7707531983419732,0.9129665662606748,0.6285398304232716,B_8,B_25
2159,0.7707892156436805,0.9130386008640896,0.6285398304232716,R_6,R_7
2160,0.7707583120313477,0.912976793639424,0.6285398304232716,S_23,R_9
2161,0.7706264113760197,0.912712992328768,0.6285398304232716,R_3,B_25
2162,0.7707476148548411,0.9129553992864108,0.6285398304232716,B_9,B_18
2163,0.7708016498875262,0.9130634693517808,0.6285398304232716,B_21,B_28
2164,0.7708086992226203,0.913077568021969,0.6285398304232716,S_6,S_18
2165,0.770780948782297,0.9130220671413224,0.6285398304232716,S_13,B_8
2166,0.7707802271097752,0.913020623796279,0.6285398304232716,R_17,B_17
2167,0.7707208000621528,0.912901769701034,0.6285398304232716,S_5,R_16
2168,0.7707504995709884,0.9129611687187054,0.6285398304232716,B_3,B_37
2169,0.7707754821524229,0.913011133881574,0.6285398304232716,S_13,B_39
2170,0.7707959700721143,0.9130521097209572,0.6285398304232716,B_6,B_14
2171,0.7707614336203145,0.9129830368173574,0.6285398304232716,S_5,B_39
2172,0.7707593909870387,0.912978951550806,0.6285398304232716,R_3,R_23
2173,0.7706578779560854,0.9127759254888992,0.6285398304232716,S_3,B_31
2174,0.7707671426500405,0.9129944548768096,0.6285398304232716,B_6,B_17
2175,0.770697631531725,0.9128554326401784,0.6285398304232716,S_3,B_28
2176,0.7707555110102634,0.9129711915972551,0.6285398304232716,S_13,R_19
2177,0.7707128565321668,0.912885882641062,0.6285398304232716,R_17,B_26
2178,0.7706816659089348,0.912823501394598,0.6285398304232716,B_25,B_40
2179,0.7707996088334022,0.9130593872435327,0.6285398304232716,S_20,B_24
2180,0.7707315931721509,0.9129233559210302,0.6285398304232716,S_9,R_3
2181,0.770795267349418,0.9130507042755645,0.6285398304232716,B_27,B_31
2182,0.7707695295384802,0.9129992286536888,0.6285398304232716,R_5,B_32
2183,0.7707405544656821,0.9129412785080928,0.6285398304232716,P_4,B_16
2184,0.7708029515036667,0.9130660725840618,0.6285398304232716,R_20,R_25
2185,0.7707455410333104,0.9129512516433492,0.6285398304232716,R_6,B_32
2186,0.7707680929048325,0.9129963553863936,0.6285398304232716,S_12,R_7
2187,0.7707466744697493,0.9129535185162272,0.6285398304232716,S_5,S_16
2188,0.7707596033829995,0.9129793763427276,0.6285398304232716,B_28,B_41
2189,0.7707491750571426,0.9129585196910136,0.6285398304232716,R_6,B_16
2190,0.7708200339817981,0.9131002375403248,0.6285398304232716,B_4,B_38
2191,0.77081859971688,0.9130973690104884,0.6285398304232716,S_9,R_6
2192,0.7707728437840062,0.9130058571447408,0.6285398304232716,S_9,B_15
2193,0.7707983009006538,0.9130567713780362,0.6285398304232716,R_11,B_37
2194,0.7708066609320134,0.9130734914407554,0.6285398304232716,R_15,B_1
2195,0.7707791742100945,0.9130185179969172,0.6285398304232716,B_17,B_25
2196,0.7706891755668734,0.9128385207104752,0.6285398304232716,S_22,B_10
2197,0.7706981084356668,0.912856386448062,0.6285398304232716,R_6,B_28
2198,0.770737870696643,0.9129359109700146,0.6285398304232716,S_18,B_33
2199,0.7707620021150805,0.9129841738068896,0.6285398304232716,R_15,B_2
2200,0.7707595252149684,0.9129792200066652,0.6285398304232716,B_5,B_14
2201,0.7707173330336587,0.912894835644046,0.6285398304232716,B_7,B_22
2202,0.7707084824650612,0.91291064769429,0.6285063172358323,B_15,B_17
2203,0.7707204378310251,0.9129345584262178,0.6285063172358323,R_23,B_5
2204,0.7706741315636358,0.9128419458914396,0.6285063172358323,B_10,B_28
2205,0.770788560479833,0.913070803723834,0.6285063172358323,R_15,B_29
2206,0.7707379798424252,0.9129696424490182,0.6285063172358323,S_8,R_24
2207,0.770756923351338,0.9130075294668436,0.6285063172358323,R_22,B_20
2208,0.7707444973980405,0.9129826775602488,0.6285063172358323,B_6,B_25
2209,0.7707547543858919,0.9130031915359516,0.6285063172358323,R_5,R_17
2210,0.7707266881151422,0.912947058994452,0.6285063172358323,S_18,R_2
2211,0.7707457567718613,0.9129851963078904,0.6285063172358323,R_5,R_12
2212,0.7707637417354325,0.9130211662350328,0.6285063172358323,R_16,R_17
2213,0.7707645609205988,0.9130228046053652,0.6285063172358323,R_21,B_13
2214,0.7707575242187218,0.9130087312016112,0.6285063172358323,S_6,R_27
2215,0.7707148223660618,0.9129233274962912,0.6285063172358323,R_15,B_10
2216,0.7707426466317475,0.9129789760276628,0.6285063172358323,S_6,S_24
2217,0.7707497121531509,0.9129931070704695,0.6285063172358323,R_13,B_25
2218,0.7707263849179342,0.912946452600036,0.6285063172358323,R_16,B_1
2219,0.770738886275746,0.9129714553156596,0.6285063172358323,S_27,R_6
2220,0.7707641748179039,0.9130220323999756,0.6285063172358323,S_27,R_5
2221,0.7707074686493962,0.9129086200629604,0.6285063172358323,R_5,B_16
2222,0.7707378088992074,0.9129693005625824,0.6285063172358323,S_25,B_36
2223,0.7707842797932053,0.9130622423505784,0.6285063172358323,S_25,B_3
2224,0.7707373410753903,0.9129683649149484,0.6285063172358323,R_22,B_17
2225,0.7707577618811172,0.913009206526402,0.6285063172358323,S_25,R_2
2226,0.7707391736814329,0.9129720301270332,0.6285063172358323,R_3,R_24
2227,0.770766202844023,0.9130260884522136,0.6285063172358323,S_3,R_13
