number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_min_child_samples,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,params_subsample_freq,state
27,0.7807522939624028,2022-07-09 06:25:26.397159,2022-07-09 06:35:48.853893,0 days 00:10:22.456734,0.46150559979800293,206,289,0.10339380975639174,0.11329683264472204,2.1443943228422264,0.754804837693783,6,COMPLETE
28,0.7799406933040709,2022-07-09 06:35:48.863406,2022-07-09 06:45:04.401135,0 days 00:09:15.537729,0.4193852339348283,207,276,0.27403366498905324,0.27608852287465746,2.0756311062775827,0.7547947971539374,6,COMPLETE
29,0.7788679782106273,2022-07-09 06:45:04.408105,2022-07-09 06:53:46.273009,0 days 00:08:41.864904,0.47511554751264296,209,244,0.16288296637492505,0.20127095074580906,2.201804547193825,0.7874822553942178,6,COMPLETE
30,0.7800692946733639,2022-07-09 09:42:03.091845,2022-07-09 09:51:50.418262,0 days 00:09:47.326417,0.32282318425268186,193,295,0.05221046187839167,0.05529458963492882,2.0818498921083166,0.5469636131652487,5,COMPLETE
31,0.7797626884434999,2022-07-09 09:51:50.431818,2022-07-09 10:04:44.965578,0 days 00:12:54.533760,0.6374817483035293,193,289,0.07047595415756429,0.0826101286266779,2.1495696266726605,0.8338623453678681,5,COMPLETE
32,0.780356664126467,2022-07-09 10:04:44.974854,2022-07-09 10:17:01.288756,0 days 00:12:16.313902,0.4568954487318736,180,294,0.029133121110540693,0.018254895262542932,2.1409626120863003,0.8236590924765501,5,COMPLETE
33,0.780484593226733,2022-07-09 10:17:01.295614,2022-07-09 10:26:44.480321,0 days 00:09:43.184707,0.5442166869937386,198,288,0.011809819957965323,0.08940773758339725,2.0589137358558656,0.5077037030770382,5,COMPLETE
34,0.7811815107570494,2022-07-09 10:26:44.485315,2022-07-09 10:39:07.481261,0 days 00:12:22.995946,0.5020395707649,205,295,0.07490651257805736,0.04203180233535071,2.094718226282311,0.8638274860000448,6,COMPLETE
35,0.7805430126926398,2022-07-09 10:39:07.491431,2022-07-09 10:52:30.492369,0 days 00:13:23.000938,0.5056740937370071,184,301,0.04806928320505212,0.0486485045365051,2.0939273928954347,0.8636400086026754,6,COMPLETE
36,0.7809456230822314,2022-07-09 10:52:30.503448,2022-07-09 11:04:30.005109,0 days 00:11:59.501661,0.3062999735105544,194,303,0.07616986538186112,0.024957054298278266,2.0240994776116854,0.8932831079331761,4,COMPLETE
37,0.7813677686265533,2022-07-09 11:04:30.015869,2022-07-09 11:17:03.596702,0 days 00:12:33.580833,0.30322241254931315,191,305,0.023801701428866968,0.014197155528095789,2.0258602411842506,0.896717566626187,4,COMPLETE
38,0.7805961499826086,2022-07-09 11:17:03.603909,2022-07-09 11:30:16.993485,0 days 00:13:13.389576,0.3065088509039032,169,304,0.021569257530308354,0.012673749125498608,1.9800737014884005,0.8934697983904608,4,COMPLETE
39,0.7803843942582931,2022-07-09 11:30:17.005145,2022-07-09 11:43:05.976960,0 days 00:12:48.971815,0.30002154580342805,194,309,0.02838743145900916,0.023377686359039553,2.0198875109892827,0.891882051717208,4,COMPLETE
40,0.7812369900248306,2022-07-09 11:43:05.985865,2022-07-09 11:55:42.099202,0 days 00:12:36.113337,0.32653055812983056,188,305,0.06361385344617893,0.030389372440200586,1.9385641913789469,0.8625394943481587,3,COMPLETE
41,0.7809439493570262,2022-07-09 11:55:42.108231,2022-07-09 12:08:14.499339,0 days 00:12:32.391108,0.32647769597626586,188,306,0.07662719374578948,0.031249965531447346,1.9476517254763042,0.8626572479386984,3,COMPLETE
42,0.7803222126485898,2022-07-09 12:08:14.507925,2022-07-09 12:20:47.620271,0 days 00:12:33.112346,0.3161907456429606,178,307,0.04001635017337854,0.03492958343761291,1.9128685928475226,0.8160376364317382,3,COMPLETE
43,0.7811241377702365,2022-07-09 12:20:47.628764,2022-07-09 12:33:37.407210,0 days 00:12:49.778446,0.33317670484126294,188,303,0.014637272321971219,0.010699381535351488,1.9875506744404527,0.863242966645032,4,COMPLETE
44,0.7807283280665952,2022-07-09 12:33:37.415453,2022-07-09 12:46:54.608561,0 days 00:13:17.193108,0.33619409337846107,188,309,0.01022787669749686,0.011611458146712059,1.9365698989054796,0.8605422796693669,4,COMPLETE
45,0.7811804439534414,2022-07-09 12:46:54.619193,2022-07-09 13:00:34.918384,0 days 00:13:40.299191,0.48690291528682816,199,299,0.01593091516912199,0.01580676622357857,1.989109251049254,0.8459670082801158,3,COMPLETE
46,0.7811132863742893,2022-07-09 13:00:34.925383,2022-07-09 13:15:19.467170,0 days 00:14:44.541787,0.5199074196281771,198,312,0.014021637666937922,0.01488470757391118,1.9849709132035764,0.8451537944632815,3,COMPLETE
47,0.7804507007634335,2022-07-09 13:15:19.475180,2022-07-09 13:29:40.915056,0 days 00:14:21.439876,0.48757308444110126,185,298,0.015166924444291229,0.01711907876988801,1.9694948344848204,0.8746379425019086,3,COMPLETE
